Rank,Team,NOC,Medal,G,YC,RC
1,Uruguay,URU,Gold,20,0,0
2,Switzerland,SUI,Silver,15,0,0
3,Sweden,SWE,Bronze,18,0,0
4,Netherlands,NED,,11,0,0
5,Ireland,IRL,,2,0,0
5,France,FRA,,8,0,0
5,Italy,ITA,,4,0,0
5,Egypt,EGY,,3,0,0
9,Romania,ROU,,0,0,0
9,Bulgaria,BUL,,0,0,0
9,Latvia,LAT,,0,0,0
9,United States,USA,,1,0,0
9,Czechoslovakia,TCH,,6,0,0
9,Luxembourg,LUX,,0,0,0
9,Belgium,BEL,,1,0,0
9,Hungary,HUN,,5,0,0
17,Yugoslavia,YUG,,0,0,0
17,Estonia,EST,,0,0,0
17,Turkey,TUR,,2,0,0
17,Lithuania,LTU,,0,0,0
17,Spain,ESP,,0,0,0
17,Poland,POL,,0,0,0
