LID,Club,Homecity,Stadium,Capacity,2015-16 finish,First Season,League Titles
a001,Bayern Munich,Munich,Allianz Arena,75000,1,1965,25
a001,Borussia Dortmund,Dortmund,Signal Iduna Park,81359,2,1963,5
a001,Bayer Leverkusen,Leverkusen,BayArena,30210,3,1979,0
a001,Borussia Monchengladbach,Monchengladbach,Stadion im Borussia-Park,54010,4,1965,5
a001,Schalke 04,Gelsenkirchen,Veltins-Arena,62271,5,1963,0
a001,FSV Mainz 05,Mainz,Coface Arena,34000,6,2004,0
a001,Hertha BSC,Berlin,Olympiastadion,74475,7,1963,0
a001,VfL Wolfsburg,Wolfsburg,Volkswagen Arena,30000,8,1997,1
a001,FC Koln,Cologne,RheinEnergieSTADION,50000,9,1963,2
a001,Hamburger SV,Hamburg,Volksparkstadion,57000,10,1963,3
a001,FC Ingolstadt,Ingolstadt,Audi Sportpark,15000,11,2015,0
a001,FC Augsburg,Augsburg,WWK ARENA,30660,12,2011,0
a001,Werder Bremen,Bremen,Weserstadion,42100,13,1963,4
a001,Darmstadt 98,Darmstadt,Merck-Stadion am Bollenfalltor,17000,14,1978,0
a001,TSG 1899 Hoffenheim,Sinsheim,Wirsol Rhein-Neckar-Arena,30150,15,2008,0
a001,Eintracht Frankfurt,Frankfurt,Commerzbank-Arena,51500,16,1963,0
a001,SC Freiburg,Freiburg im Breisgau,Schwarzwald-Stadion,24000,,1993,0
a001,RB Leipzig,Leipzig,Red Bull Arena,42959,,2016,0
