LID,Club,Homecity,Stadium,Capacity,2015-16 finish,First Season,League Titles
a001,Bayern Munich,Munich,Allianz Arena,75000,1,1965,25
a001,Borussia Dortmund,Dortmund,Signal Iduna Park,81359,2,1963,5
a001,Bayer Leverkusen,Leverkusen,BayArena,30210,3,1979,0
a001,Borussia Monchengladbach,Monchengladbach,Stadion im Borussia-Park,54010,4,1965,5
a001,Schalke 04,Gelsenkirchen,Veltins-Arena,62271,5,1963,0
a001,FSV Mainz 05,Mainz,Coface Arena,34000,6,2004,0
a001,Hertha BSC,Berlin,Olympiastadion,74475,7,1963,0
a001,VfL Wolfsburg,Wolfsburg,Volkswagen Arena,30000,8,1997,1
a001,FC Koln,Cologne,RheinEnergieSTADION,50000,9,1963,2
a001,Hamburger SV,Hamburg,Volksparkstadion,57000,10,1963,3
a001,FC Ingolstadt,Ingolstadt,Audi Sportpark,15000,11,2015,0
a001,FC Augsburg,Augsburg,WWK ARENA,30660,12,2011,0
a001,Werder Bremen,Bremen,Weserstadion,42100,13,1963,4
a001,Darmstadt 98,Darmstadt,Merck-Stadion am Bollenfalltor,17000,14,1978,0
a001,TSG 1899 Hoffenheim,Sinsheim,Wirsol Rhein-Neckar-Arena,30150,15,2008,0
a001,Eintracht Frankfurt,Frankfurt,Commerzbank-Arena,51500,16,1963,0
a001,SC Freiburg,Freiburg im Breisgau,Schwarzwald-Stadion,24000,,1993,0
a001,RB Leipzig,Leipzig,Red Bull Arena,42959,,2016,0
a002,Leicester City,Leicester,King Power Stadium,32312,1,1908,1
a002,Arsenal,London,Emirates Stadium,60260,2,1904,13
a002,Tottenham Hotspur,London,White Hart Lane,36284,3,1909,2
a002,Manchester City,Manchester,Etihad Stadium,55097,4,1899,4
a002,Manchester United,Manchester,Old Trafford,75653,5,1892,20
a002,Southampton,Southampton,St.Mary's Stadium,32505,6,1966,0
a002,West Ham United,London,Upton Park,60000,7,1923,0
a002,Liverpool,Liverpool,Anfield,44742,8,1894,18
a002,Stoke City,Stoke-on-Trent,Britannia Stadium,27740,9,1888,0
a002,Chelsea,London,Stamford Bridge,41798,10,1907,5
a002,Everton,Liverpool,Goodison Park,39571,11,1888,9
a002,Swansea City,Swansea,Liberty Stadium,20909,12,1981,0
a002,Watford,Watford,Vicarage Road,21577,13,1982,0
a002,West Bromwich Albion,West Bromwich,The Hawthorns,26850,14,1888,1
a002,Crystal Palace,London,Selhurst Park,25456,15,1969,0
a002,AFC Bournemouth,Bournemouth,Dean Court,11464,16,2015,0
a002,Sunderland,Sunderland,Stadium of Light,48707,17,1890,6
a002,Burnley,Burnley,Turf Moor,21401,,1888,2
a002,Middlesbrough,Middlesbrough,Riverside Stadium,33746,,1902,0
a002,Hull City,Hull,KCOM Stadium,25400,,2008,0
a003,Barcelona,Barcelona,Camp Nou,99354,1,1929,24
a003,Real Madrid,Madrid,Santiago Bernabeu,81044,2,1929,32
a003,Atletico Madrid,Madrid,Vicente Calderon,54907,3,1929,10
a003,Villarreal,Villarreal,El Madrigal,24890,4,1998,0
a003,Athletic Bilbao,Bilbao,San Mames,53289,5,1929,8
a003,Celta Vigo,Vigo,Balaidos,29000,6,1939,0
a003,Sevilla,Seville,Ramon Sanchez Pizjuan,42714,7,1934,1
a003,Malaga,Malaga,La Rosaleda,30044,8,1999,0
a003,Real Sociedad,San Sebastian,Anoeta,32000,9,1929,2
a003,Real Betis,Seville,Benito Villamarin,51700,10,1932,1
a003,Las Palmas,Las Palmas,Gran Canaria,33111,11,1951,0
a003,Espanyol,Barcelona,RCDE Stadium,40500,12,1929,0
a003,Valencia,Valencia,Mestalla,55000,12,1931,6
a003,Eibar,Eibar,Ipurua,6285,14,2014,0
a003,Deportivo La Coruna,A Coruna,Riazor,34600,15,1941,1
a003,Granada,Granada,Nuevo Los Carmenes,22369,16,1941,0
a003,Sporting Gijon,Gijon,El Molinon,30000,17,1944,0
a003,Alaves,Vitoria-Gasteiz,Mendizorrotza,19840,,1930,0
a003,Leganes,Leganes,Butarque,8138,,2016,0
a003,Osasuna,Pamplona,El Sadar,18761,,1935,0
a004,Juventus,Turin,Juventus Stadium,41475,1,1900,32
a004,Napoli,Naples,Stadio San Paolo,60240,2,1922,2
a004,Roma,Rome,Stadio Olimpico,72698,3,1912,3
a004,Internazionale,Milan,San Siro,80018,4,1909,18
a004,Fiorentina,Florence,Stadio Artemio Franchi,47282,5,1928,2
a004,Sassuolo,Sassuolo,Mapei Stadium,23717,6,2013,0
a004,Milan,Milan,San Siro,80018,7,1900,18
a004,Lazio,Rome,Stadio Olimpico,72698,8,1912,2
a004,Chievo,Verona,Stadio Marc'Antonio Bentegodi,38402,9,2001,0
a004,Empoli,Empoli,Stadio Carlo Castellani,16800,10,1986,0
a004,Genoa,Genoa,Stadio Luigi Ferraris,36685,11,1898,9
a004,Torino,Turin,Stadio Olimpico Grande Torino,27994,12,1898,7
a004,Atalanta,Bergamo,Stadio Atleti Azzurri d'Italia,26542,13,1937,0
a004,Bologna,Bologna,Stadio Renato Dall'Ara,38279,14,1910,7
a004,Sampdoria,Genoa,Stadio Luigi Ferraris,36685,15,1932,1
a004,Palermo,Palermo,Stadio Renzo Barbera,36349,16,1922,0
a004,Udinese,Udine,Stadio Friuli,25144,17,1913,0
a004,Cagliari,Cagliari,Stadio Sant'Elia,16000,,1964,1
a004,Pescara,Pescara,Stadio Adriatico,20476,,1977,0
a004,Crotone,Crotone,Stadio Ezio Scida,9631,,2016,0
a005,Paris Saint-Germain,Paris,Parc des Princes,48712,1,1974,6
a005,Lyon,Lyon,Stade de Gerland,41842,2,1989,7
a005,Monaco,Monaco,Stade Louis II,18480,3,2013,7
a005,Nice,Nice,Allianz Riviera,35624,4,2002,4
a005,Lille,Villeneuve d'Ascq,Stade Pierre-Mauroy,50186,5,2000,3
a005,Saint-Étienne,Saint-Étienne,Stade Geoffroy-Guichard,26747,6,2004,10
a005,Caen,Caen,Stade Michel d'Ornano,21500,7,2014,0
a005,Rennais,Rennes,Stade de la Route De Lorient,29376,8,1994,0
a005,Angers,Paris,Stade Jean Bouin,17835,9,2015,0
a005,Bastia,Furiani,Stade Armand Cesari,16000,10,2012,0
a005,FC Bordeaux,Bordeaux,Nouveau Stade Bordeaux,42115,11,1992,6
a005,Montpellier,Montpellier,Stade de la Mosson,32900,12,2009,1
a005,Marseille,Marseille,Stade Velodrome,42000,13,1996,9
a005,Nantes,Nantes,Stade de la Beaujoire,37473,14,2013,8
a005,Lorient,Lorient,Stade du Moustoir,18500,15,2006,0
a005,Guingamp,Guingamp,Stade Du Roudourou,18250,16,2013,0
a005,Toulouse,Toulouse,Stade Municipal de Toulouse,35472,17,2003,0
a005,Nancy,Tomblaine,Stade Marcel Picot,20087,,2016,0
a005,Dijon,Dijon,Stade Gaston Gerard,15995,,2016,0
a005,Metz,Metz,Stade Saint-Symphorien,26700,,2016,0
a006,Benfica,Lisbon,Estadio da Luz,65647,1,1935,35
a006,Sporting CP,Lisbon,Estadio Jose Alvalade,52466,2,1935,18
a006,Porto,Porto,Estadio do Dragao,52002,3,1935,27
a006,Braga,Braga,Estadio Municipal de Braga,30154,4,1948,0
a006,Arouca,Arouca,Estadio Municipal de Arouca,5000,5,2014,0
a006,Rio Ave,Vila do Conde,Estadio do Rio Ave FC,12820,6,1980,0
a006,Pacos de Ferreira,Pacos de Ferreira,Estadio Capital do Movel,5250,7,1992,0
a006,Estoril,Estoril,Estadio Antonio Coimbra da Mota,8000,8,1945,0
a006,Belenenses,Lisbon,Estadio do Restelo,19300,9,1935,1
a006,Vitoria de Guimaraes,Guimaraes,Estadio D. Afonso Henriques,30146,10,1942,0
a006,Nacional,Funchal,Estadio da Madeira,5142,11,1989,0
a006,Moreirense,Moreira de Conegos,Parque Joaquim Almeida Freitas,6100,12,2003,0
a006,Maritimo,Funchal,Estadio do Marrtimo,10500,13,1978,0
a006,Boavista,Porto,Estadio do Bessa,28263,14,1936,1
a006,Vitoria de Setubal,Setubal,Estadio do Bonfim,18692,15,1935,0
a006,Tondela,Tondela,Estadio Joao Cardoso,5000,16,2016,0
a006,Chaves,Chaves,Estadio Municipal Eng. Manuel Branco Teixeira,8000,,1986,0
a006,Feirense,Santa Maria da Feira,Estadio Marcolino de Castro,5401,,1963,0
