LID,Club,Homecity,Stadium,Capacity,2015-16 finish,First Season,League Titles
a003,Barcelona,Barcelona,Camp Nou,99354,1,1929,24
a003,Real Madrid,Madrid,Santiago Bernabeu,81044,2,1929,32
a003,Atletico Madrid,Madrid,Vicente Calderon,54907,3,1929,10
a003,Villarreal,Villarreal,El Madrigal,24890,4,1998,0
a003,Athletic Bilbao,Bilbao,San Mames,53289,5,1929,8
a003,Celta Vigo,Vigo,Balaidos,29000,6,1939,0
a003,Sevilla,Seville,Ramon Sanchez Pizjuan,42714,7,1934,1
a003,Malaga,Malaga,La Rosaleda,30044,8,1999,0
a003,Real Sociedad,San Sebastian,Anoeta,32000,9,1929,2
a003,Real Betis,Seville,Benito Villamarin,51700,10,1932,1
a003,Las Palmas,Las Palmas,Gran Canaria,33111,11,1951,0
a003,Espanyol,Barcelona,RCDE Stadium,40500,12,1929,0
a003,Valencia,Valencia,Mestalla,55000,12,1931,6
a003,Eibar,Eibar,Ipurua,6285,14,2014,0
a003,Deportivo La Coruna,A Coruna,Riazor,34600,15,1941,1
a003,Granada,Granada,Nuevo Los Carmenes,22369,16,1941,0
a003,Sporting Gijon,Gijon,El Molinon,30000,17,1944,0
a003,Alaves,Vitoria-Gasteiz,Mendizorrotza,19840,,1930,0
a003,Leganes,Leganes,Butarque,8138,,2016,0
a003,Osasuna,Pamplona,El Sadar,18761,,1935,0
