LID,Club,Homecity,Stadium,Capacity,2015-16 finish,First Season,League Titles
a004,Juventus,Turin,Juventus Stadium,41475,1,1900,32
a004,Napoli,Naples,Stadio San Paolo,60240,2,1922,2
a004,Roma,Rome,Stadio Olimpico,72698,3,1912,3
a004,Internazionale,Milan,San Siro,80018,4,1909,18
a004,Fiorentina,Florence,Stadio Artemio Franchi,47282,5,1928,2
a004,Sassuolo,Sassuolo,Mapei Stadium,23717,6,2013,0
a004,Milan,Milan,San Siro,80018,7,1900,18
a004,Lazio,Rome,Stadio Olimpico,72698,8,1912,2
a004,Chievo,Verona,Stadio Marc'Antonio Bentegodi,38402,9,2001,0
a004,Empoli,Empoli,Stadio Carlo Castellani,16800,10,1986,0
a004,Genoa,Genoa,Stadio Luigi Ferraris,36685,11,1898,9
a004,Torino,Turin,Stadio Olimpico Grande Torino,27994,12,1898,7
a004,Atalanta,Bergamo,Stadio Atleti Azzurri d'Italia,26542,13,1937,0
a004,Bologna,Bologna,Stadio Renato Dall'Ara,38279,14,1910,7
a004,Sampdoria,Genoa,Stadio Luigi Ferraris,36685,15,1932,1
a004,Palermo,Palermo,Stadio Renzo Barbera,36349,16,1922,0
a004,Udinese,Udine,Stadio Friuli,25144,17,1913,0
a004,Cagliari,Cagliari,Stadio Sant'Elia,16000,,1964,1
a004,Pescara,Pescara,Stadio Adriatico,20476,,1977,0
a004,Crotone,Crotone,Stadio Ezio Scida,9631,,2016,0
