LID,Club,Homecity,Stadium,Capacity,2015-16 finish,First Season,League Titles
a005,Paris Saint-Germain,Paris,Parc des Princes,48712,1,1974,6
a005,Lyon,Lyon,Stade de Gerland,41842,2,1989,7
a005,Monaco,Monaco,Stade Louis II,18480,3,2013,7
a005,Nice,Nice,Allianz Riviera,35624,4,2002,4
a005,Lille,Villeneuve d'Ascq,Stade Pierre-Mauroy,50186,5,2000,3
a005,Saint-Étienne,Saint-Étienne,Stade Geoffroy-Guichard,26747,6,2004,10
a005,Caen,Caen,Stade Michel d'Ornano,21500,7,2014,0
a005,Rennais,Rennes,Stade de la Route De Lorient,29376,8,1994,0
a005,Angers,Paris,Stade Jean Bouin,17835,9,2015,0
a005,Bastia,Furiani,Stade Armand Cesari,16000,10,2012,0
a005,FC Bordeaux,Bordeaux,Nouveau Stade Bordeaux,42115,11,1992,6
a005,Montpellier,Montpellier,Stade de la Mosson,32900,12,2009,1
a005,Marseille,Marseille,Stade Velodrome,42000,13,1996,9
a005,Nantes,Nantes,Stade de la Beaujoire,37473,14,2013,8
a005,Lorient,Lorient,Stade du Moustoir,18500,15,2006,0
a005,Guingamp,Guingamp,Stade Du Roudourou,18250,16,2013,0
a005,Toulouse,Toulouse,Stade Municipal de Toulouse,35472,17,2003,0
a005,Nancy,Tomblaine,Stade Marcel Picot,20087,,2016,0
a005,Dijon,Dijon,Stade Gaston Gerard,15995,,2016,0
a005,Metz,Metz,Stade Saint-Symphorien,26700,,2016,0
