LID,Club,Homecity,Stadium,Capacity,2015-16 finish,First Season,League Titles
a006,Benfica,Lisbon,Estadio da Luz,65647,1,1935,35
a006,Sporting CP,Lisbon,Estadio Jose Alvalade,52466,2,1935,18
a006,Porto,Porto,Estadio do Dragao,52002,3,1935,27
a006,Braga,Braga,Estadio Municipal de Braga,30154,4,1948,0
a006,Arouca,Arouca,Estadio Municipal de Arouca,5000,5,2014,0
a006,Rio Ave,Vila do Conde,Estadio do Rio Ave FC,12820,6,1980,0
a006,Pacos de Ferreira,Pacos de Ferreira,Estadio Capital do Movel,5250,7,1992,0
a006,Estoril,Estoril,Estadio Antonio Coimbra da Mota,8000,8,1945,0
a006,Belenenses,Lisbon,Estadio do Restelo,19300,9,1935,1
a006,Vitoria de Guimaraes,Guimaraes,Estadio D. Afonso Henriques,30146,10,1942,0
a006,Nacional,Funchal,Estadio da Madeira,5142,11,1989,0
a006,Moreirense,Moreira de Conegos,Parque Joaquim Almeida Freitas,6100,12,2003,0
a006,Maritimo,Funchal,Estadio do Marrtimo,10500,13,1978,0
a006,Boavista,Porto,Estadio do Bessa,28263,14,1936,1
a006,Vitoria de Setubal,Setubal,Estadio do Bonfim,18692,15,1935,0
a006,Tondela,Tondela,Estadio Joao Cardoso,5000,16,2016,0
a006,Chaves,Chaves,Estadio Municipal Eng. Manuel Branco Teixeira,8000,,1986,0
a006,Feirense,Santa Maria da Feira,Estadio Marcolino de Castro,5401,,1963,0
