Season,League,Club,Number,Name,Nat,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,New Club
2011,a003,Almería,1,Diego Alves,BRA,G,1.88,83,24-06-85,Rio de Janeiro,Atlético Mineiro,
2011,a003,Almería,2,Michael Jakobsen,DEN,D,1.85,81,2-1-86,Copenhagen,Aalborg,
2011,a003,Almería,3,Marcelo Silva,URU,D,1.85,85,21-03-89,Soriano,Danubio,
2011,a003,Almería,4,Hernán Pellerano,ARG,D,1.83,72,4-6-84,Capital Federal,Vélez Sarsfield,
2011,a003,Almería,5,Kalu Uche,NGA,F,1.79,71,15-11-82,Aba,Wisła Kraków,
2011,a003,Almería,7,Sofiane Feghouli,FRA,M,1.78,71,26-12-89,Levallois-Perret,Valencia,
2011,a003,Almería,8,Albert Crusat,ESP,M,1.64,65,13-05-82,Barcelona,Rayo Vallecano,
2011,a003,Almería,10,José Ortíz,ESP,F,1.72,68,4-8-77,Almería,Almería CF,
2011,a003,Almería,11,Pablo Piatti,ARG,F,1.63,63,31-03-89,La Carlota,Estudiantes (LP),
2011,a003,Almería,13,Esteban,ESP,G,1.77,70,27-06-75,Avilés,Celta Vigo,
2011,a003,Almería,14,Antonio Luna,ESP,D,1.77,68,17-03-91,Son Servera,Sevilla,
2011,a003,Almería,15,Miguel Angel Corona,ESP,M,1.75,79,12-2-81,Talavera,Zaragoza,
2011,a003,Almería,16,Michel,BRA,D,1.76,72,15-02-90,Rio de Janeiro,Flamengo,
2011,a003,Almería,17,Juan Manuel Ortiz,ESP,M,1.79,70,1-3-82,Alicante,Atlético Madrid,
2011,a003,Almería,18,Santiago Acasiete,PER,D,1.82,78,22-11-77,Callao,Cienciano,
2011,a003,Almería,19,Modeste M'Bami,CMR,M,1.72,67,9-10-82,Yaoundé,Marseille,
2011,a003,Almería,20,Leonardo Ulloa,ARG,F,1.85,75,26-07-86,Río Negro,Castellón,
2011,a003,Almería,21,Carlos García,ESP,D,1.84,82,29-04-84,Barcelona,Espanyol B,
2011,a003,Almería,22,Fabián Vargas,COL,M,1.78,71,17-04-80,Bogotá,Boca Juniors,
2011,a003,Almería,23,Henok Goitom,SWE,F,1.89,74,16-09-84,Solna,Murcia,
2011,a003,Almería,24,Juanito,ESP,M,1.86,78,17-02-80,Málaga,Málaga,
2011,a003,Almería,25,Hernán Bernardello,ARG,M,1.74,75,3-8-86,Rosario,Newell's Old Boys,
2011,a003,Almería,27,Diego García,ESP,G,1.9,79,13-01-90,Oviedo,Almería B,
2011,a003,Almería,29,José Ramón,ESP,F,1.8,69,31-12-91,Ciudad Real,Almería B,
2011,a003,Almería,31,Álvaro,ESP,G,1.77,75,16-08-88,Almería,Almería B,
2011,a003,Almería,40,Lillo,ESP,D,1.76,76,27-03-89,Alicante,Valencia B,
2011,a003,Almería,42,Cristóbal,ESP,M,1.7,62,5-2-92,Málaga,Almería B,
2011,a003,Almería,43,Jonathan Zongo,BFA,F,1.83,72,2-12-92,Ouagadougou,Almería B,
2011,a003,Almería,9,Diego Váleri,ARG,M,1.78,75,1-5-86,Lanús,,Lanús
2011,a003,Almería,14,Baltasar Rigo,ESP,D,1.85,81,26-06-85,Campos,,Huesca
2011,a003,Almería,7,Miguel Ángel Nieto,ESP,M,1.83,77,12-1-86,Madrid,,Xerez (On Loan)
2011,a003,Almería,26,Miguel Ángel Luque,ESP,M,1.8,63,23-07-90,Sabadell,,
2011,a003,Athletic Bilbao,1,Gorka Iraizoz,ESP,G,1.91,81,6-3-81,Pamplona,Espanyol,
2011,a003,Athletic Bilbao,2,Gaizka Toquero,ESP,M,1.82,72,9-8-84,Vitoria,Sestao River,
2011,a003,Athletic Bilbao,3,Koikili,ESP,D,1.68,67,23-12-80,Otxandio,Sestao River,
2011,a003,Athletic Bilbao,4,Ustaritz,ESP,D,1.83,75,16-02-83,Abadiño,Athletic Bilbao B,
2011,a003,Athletic Bilbao,5,Fernando Amorebieta,ESP,D,1.92,85,21-03-85,Iurreta,Athletic Bilbao B,
2011,a003,Athletic Bilbao,6,Mikel San José,ESP,D,1.83,78,30-05-89,Pamplona,Liverpool,
2011,a003,Athletic Bilbao,7,David López,ESP,M,1.81,77,10-9-82,Logroño,Osasuna,
2011,a003,Athletic Bilbao,8,Ander Iturraspe,ESP,M,1.87,73,8-3-89,Abadiño,Athletic Bilbao B,
2011,a003,Athletic Bilbao,9,Fernando Llorente,ESP,F,1.95,94,26-02-85,Iruñea,Athletic Bilbao B,
2011,a003,Athletic Bilbao,10,Óscar de Marcos,ESP,M,1.8,73,14-04-89,Vitoria,Alavés,
2011,a003,Athletic Bilbao,11,Igor Gabilondo,ESP,M,1.85,78,10-2-79,Donostia,Real Sociedad,
2011,a003,Athletic Bilbao,13,Raúl,ESP,G,1.96,88,13-03-88,Bilbao,Athletic Bilbao B,
2011,a003,Athletic Bilbao,14,Markel Susaeta,ESP,M,1.79,68,14-12-87,Eibar,Athletic Bilbao B,
2011,a003,Athletic Bilbao,15,Andoni Iraola,ESP,D,1.82,74,22-06-82,Usúrbil,Athletic Bilbao B,
2011,a003,Athletic Bilbao,16,Pablo Orbaiz,ESP,M,1.79,75,6-2-79,Iruñea,Osasuna,
2011,a003,Athletic Bilbao,18,Carlos Gurpegi,ESP,M,1.81,77,19-08-80,Pamplona,Athletic Bilbao B,
2011,a003,Athletic Bilbao,19,Mikel Balenziaga,ESP,D,1.79,74,29-02-88,Zumárraga,Athletic Bilbao B,
2011,a003,Athletic Bilbao,20,Aitor Ocio,ESP,D,1.87,79,28-11-76,Vitoria,Sevilla,
2011,a003,Athletic Bilbao,22,Xabier Castillo,ESP,D,1.82,71,29-03-86,Durango,Real Sociedad,
2011,a003,Athletic Bilbao,23,Iñigo Díaz de Cerio,ESP,F,1.77,69,15-05-84,San Sebastián,Real Sociedad,
2011,a003,Athletic Bilbao,24,Javi Martínez,ESP,M,1.9,81,2-9-88,Lizarra,Osasuna B,
2011,a003,Athletic Bilbao,26,Igor Martínez,ESP,M,1.7,65,19-07-89,Vitoria,Alavés,
2011,a003,Athletic Bilbao,27,Iker Muniain,ESP,F,1.68,62,19-12-92,Iruñea,Athletic Bilbao B,
2011,a003,Athletic Bilbao,28,Ibai Gómez,ESP,F,1.79,73,11-11-89,Bilbao,Sestao River,
2011,a003,Athletic Bilbao,29,Jon Aurtenetxe,ESP,D,1.82,78,3-1-92,Bizkaia,Athletic Bilbao B,
2011,a003,Athletic Bilbao,30,Aitor Fernández,ESP,G,1.82,70,3-5-91,Arrasate,Athletic Bilbao B,
2011,a003,Athletic Bilbao,31,Jonás Ramalho,ESP,D,1.8,64,10-6-93,Barakaldo,Athletic Bilbao B,
2011,a003,Athletic Bilbao,32,Borja Ekiza,ESP,D,1.8,73,6-3-88,Iruñea,Athletic Bilbao B,
2011,a003,Athletic Bilbao,33,Urko Vera,ESP,F,1.9,85,14-05-87,Barakaldo,Lemona,
2011,a003,Athletic Bilbao,34,Iñigo Ruiz de Galarreta,ESP,M,1.74,66,6-8-93,San Sebastián,Athletic Bilbao B,
2011,a003,Athletic Bilbao,35,Galder Cerrajería,ESP,M,1.85,76,5-4-89,Barakaldo,Athletic Bilbao B,
2011,a003,Athletic Bilbao,36,Iker Guarrotxena,ESP,M,1.77,67,6-12-92,Bilbao,Athletic Bilbao B,
2011,a003,Athletic Bilbao,37,Xabi Etxebarria,ESP,D,1.81,82,20-07-87,Igorre,Athletic Bilbao B,
2011,a003,Athletic Bilbao,21,Ion Vélez,ESP,F,1.82,75,17-02-85,Tafalla,,Numancia (On Loan)
2011,a003,Athletic Bilbao,17,Íñigo Pérez,ESP,M,1.78,74,18-01-88,Iruñea,,Huesca (On Loan)
2011,a003,Atlético Madrid,2,Juan Valera,ESP,D,1.84,70,21-12-84,La Copa de Bullas,Murcia,
2011,a003,Atlético Madrid,3,Antonio López,ESP,D,1.73,65,13-09-81,Benidorm,Osasuna,
2011,a003,Atlético Madrid,4,Mario Suárez,ESP,M,1.85,77,24-02-87,Madrid,Mallorca,
2011,a003,Atlético Madrid,5,Tiago,POR,M,1.83,75,2-5-81,Viana do Castelo,Juventus,
2011,a003,Atlético Madrid,7,Diego Forlán,URU,F,1.8,75,19-05-79,Montevideo,Villarreal,
2011,a003,Atlético Madrid,8,Raúl García,ESP,M,1.83,80,11-7-86,Pamplona,Osasuna,
2011,a003,Atlético Madrid,9,Elias,BRA,M,1.73,64,16-05-85,São Paulo,Corinthians,
2011,a003,Atlético Madrid,10,Sergio Agüero,ARG,F,1.72,74,2-6-88,Capital Federal,Independiente,
2011,a003,Atlético Madrid,11,Fran Mérida,ESP,M,1.75,70,4-3-90,Barcelona,Arsenal,
2011,a003,Atlético Madrid,12,Paulo Assunção,BRA,M,1.75,67,25-01-80,Varzea Grande,FC Porto,
2011,a003,Atlético Madrid,13,David De Gea,ESP,G,1.92,82,7-11-90,Madrid,Atlético Madrid B,
2011,a003,Atlético Madrid,14,Filipe Luis,BRA,D,1.82,70,9-8-85,Jaraguá do Sul,Deportivo La Coruña,
2011,a003,Atlético Madrid,15,Diego Godín,URU,D,1.85,73,16-02-86,Rosario,Villarreal,
2011,a003,Atlético Madrid,17,Tomáš Ujfaluši,CZE,D,1.85,76,24-03-78,Rýmařov,Fiorentina,
2011,a003,Atlético Madrid,18,Álvaro Domínguez,ESP,D,1.89,83,16-05-89,Madrid,Atlético Madrid B,
2011,a003,Atlético Madrid,19,José Antonio Reyes,ESP,M,1.76,76,1-9-83,Utrera,Arsenal,
2011,a003,Atlético Madrid,20,Juanfran,ESP,D,1.8,72,9-1-85,Crevillent,Osasuna,
2011,a003,Atlético Madrid,21,Luis Amaranto Perea,COL,D,1.8,76,30-01-79,Turbo Antioquia,Boca Juniors,
2011,a003,Atlético Madrid,22,Diego Costa,BRA,F,1.86,78,7-10-88,Lagarto,Valladolid,
2011,a003,Atlético Madrid,26,Abel,ESP,F,1.79,65,28-04-89,Madrid,Atlético Madrid B,
2011,a003,Atlético Madrid,27,Joel Robles,ESP,G,1.95,85,17-06-90,Leganés,Atlético Madrid B,
2011,a003,Atlético Madrid,28,José Javier Mínguez,ESP,M,1.74,70,31-03-88,Alcázar de San Juan,Atlético Madrid B,
2011,a003,Atlético Madrid,29,Borja González,ESP,F,1.85,74,25-08-92,Madrid,Atlético Madrid B,
2011,a003,Atlético Madrid,30,Quique Martín,ESP,D,1.69,65,2-4-90,Madrid,Atlético Madrid B,
2011,a003,Atlético Madrid,31,Fernando López,ESP,M,1.8,72,4-4-89,Madrid,Atlético Madrid B,
2011,a003,Atlético Madrid,32,Koke,ESP,M,1.78,73,8-1-92,Madrid,Atlético Madrid B,
2011,a003,Atlético Madrid,33,Carlos Mendoza,ESP,D,,,30-01-92,,Atlético Madrid C,
2011,a003,Atlético Madrid,34,Míchel,ESP,D,1.85,75,6-2-89,Burgos,Atlético Madrid B,
2011,a003,Atlético Madrid,35,Manu Trinado,ESP,D,,,21-01-91,,Atlético Madrid C,
2011,a003,Atlético Madrid,36,Ángel Propin,ESP,D,1.86,76,10-2-90,Madrid,Atlético Madrid C,
2011,a003,Atlético Madrid,37,Dani Martín,ESP,F,,,2-4-90,Madrid,Atlético Madrid C,
2011,a003,Atlético Madrid,38,Jorge Arroyo,ESP,D,,,4-3-91,,Atlético Madrid C,
2011,a003,Atlético Madrid,39,Nacho Heras,ESP,D,,,27-08-91,,Atlético Madrid C,
2011,a003,Atlético Madrid,40,Miguel Linares,ESP,D,,,5-1-91,,Atlético Madrid C,
2011,a003,Atlético Madrid,41,Pichu,ESP,D,1.9,84,18-01-90,Córdoba,Atlético Madrid B,
2011,a003,Atlético Madrid,42,Sergio Cidoncha,ESP,M,1.8,71,27-08-90,El Escorial,Atlético Madrid C,
2011,a003,Atlético Madrid,43,Jorge Pulido,ESP,D,1.81,72,8-4-91,Talavera de la Reina,Atlético Madrid B,
2011,a003,Atlético Madrid,44,Sergio Marcos,ESP,M,1.77,73,3-2-92,Sacedón,Atlético Madrid B,
2011,a003,Atlético Madrid,45,Andrés,ESP,D,1.79,73,1-7-90,Noreña,Atlético Madrid C,
2011,a003,Atlético Madrid,46,Jesús,ESP,M,,,3-10-91,,Atlético Madrid C,
2011,a003,Atlético Madrid,47,Adrián Jiménez,ESP,M,1.7,65,2-2-88,Madrid,Atlético Madrid B,
2011,a003,Atlético Madrid,48,Álex Campos,ESP,G,1.8,70,28-06-91,Madrid,Atlético Madrid C,
2011,a003,Atlético Madrid,49,Alberto Perea,ESP,F,1.8,83,16-05-90,Albacete,Atlético Madrid B,
2011,a003,Atlético Madrid,50,Iago Herrerín,ESP,G,1.86,90,25-01-88,Bilbao,Athletic Bilbao B,
2011,a003,Atlético Madrid,51,Alberto Noguera,ESP,M,1.77,72,24-09-89,Madrid,Atlético Madrid B,
2011,a003,Atlético Madrid,9,José Manuel Jurado,ESP,M,1.73,72,29-06-86,Sanlúcar de Barrameda,,Schalke
2011,a003,Atlético Madrid,20,Simão,POR,F,1.7,64,31-10-79,Constantim,,Beşiktaş
2011,a003,Atlético Madrid,1,Sergio Asenjo,ESP,G,1.82,85,28-06-89,Palencia,,Málaga (On Loan)
2011,a003,Atlético Madrid,6,Ignacio Camacho,ESP,M,1.81,68,4-5-90,Zaragoza,,Málaga
2011,a003,Atlético Madrid,16,Juanito,ESP,D,1.82,77,23-07-76,Cádiz,,Valladolid
