Season,League,Club,Number,Name,Nat,Pos,Height,Weight,Date of Birth,Birth Place
2013,a003,Athletic Bilbao,1,Gorka Iraizoz,ESP,G,1.91,81,06-03-81,Pamplona
2013,a003,Athletic Bilbao,2,Gaizka Toquero,ESP,M,1.82,72,09-08-84,Vitoria
2013,a003,Athletic Bilbao,3,Jon Aurtenetxe,ESP,D,1.82,78,03-01-92,Bizkaia
2013,a003,Athletic Bilbao,4,Aymeric Laporte,FRA,D,1.89,85,27-05-94,Agen
2013,a003,Athletic Bilbao,5,Fernando Amorebieta,VEN,D,1.92,85,21-03-85,Iurreta
2013,a003,Athletic Bilbao,6,Mikel San José,ESP,D,1.83,78,30-05-89,Pamplona
2013,a003,Athletic Bilbao,8,Ander Iturraspe,ESP,M,1.87,73,08-03-89,Abadiño
2013,a003,Athletic Bilbao,9,Fernando Llorente,ESP,F,1.95,94,26-02-85,Iruñea
2013,a003,Athletic Bilbao,10,Óscar de Marcos,ESP,M,1.8,73,14-04-89,Vitoria
2013,a003,Athletic Bilbao,11,Ibai Gómez,ESP,F,1.79,73,11-11-89,Bilbao
2013,a003,Athletic Bilbao,13,Raúl,ESP,G,1.96,88,13-03-88,Bilbao
2013,a003,Athletic Bilbao,14,Markel Susaeta,ESP,M,1.79,68,14-12-87,Eibar
2013,a003,Athletic Bilbao,15,Andoni Iraola,ESP,D,1.82,74,22-06-82,Usúrbil
2013,a003,Athletic Bilbao,16,Isma López,ESP,F,1.8,76,29-01-90,Pamplona
2013,a003,Athletic Bilbao,17,Íñigo Pérez,ESP,M,1.78,74,18-01-88,Iruñea
2013,a003,Athletic Bilbao,18,Carlos Gurpegi,ESP,M,1.81,77,19-08-80,Pamplona
2013,a003,Athletic Bilbao,19,Iker Muniain,ESP,F,1.68,62,19-12-92,Iruñea
2013,a003,Athletic Bilbao,20,Aritz Aduriz,ESP,F,1.77,75,11-02-81,San Sebastián
2013,a003,Athletic Bilbao,21,Ander Herrera,ESP,M,1.81,68,14-08-89,Bilbao
