"","Year","Host country","Continent","Host's perf.*","Sites / towns","Total gate","Matches","Average gate","Top gate ‡","Site of best- attended game(s) ‡"
"1","1930","Uruguay","S. Amer.","1st","3 / 1","590,549","18","32,808","93,000","Estadio Centenario, Montevideo"
"2","1934","Italy","Europe","1st","8 / 8","363,000","17","21,353","55,000","Stadio Nazionale PNF, Rome"
"3","1938","France","Europe","QF","10 / 9","375,700","18","20,872","58,455","Olympique de Colombes, Paris"
"4","1950","Brazil","S. Amer.","2nd","6 / 6","1,045,246","22","47,511","171,772","Maracanã Stadium, Rio"
"5","1954","Switzerland","Europe","QF","6 / 6","768,607","26","29,562","65,000","St. Jakob Stadium, Basel"
"6","1958","Sweden","Europe","2nd","12 / 12","819,810","35","23,423","51,800","Råsunda Stadium, Solna †"
"7","1962","Chile","S. Amer.","3rd","4 / 4","893,172","32","27,912","68,679","Estadio Nacional, Santiago"
"8","1966","England","Europe","1st","8 / 7","1,563,135","32","48,848","98,270","Wembley Stadium, London"
"9","1970","Mexico","N. Amer.","QF","5 / 5","1,603,975","32","50,124","108,192","Estadio Azteca, Mexico City"
"10","1974","West Germany","Europe","1st","9 / 9","1,865,753","38","49,099","83,168","Olympiastadion, West Berlin"
"11","1978","Argentina","S. Amer.","1st","6 / 5","1,545,791","38","40,679","71,712","River Plate Stadium, Buenos Aires"
"12","1982","Spain","Europe","top 12","17 / 14","2,109,723","52","40,572","95,500","Camp Nou, Barcelona"
"13","1986","Mexico","N. Amer.","QF","12 / 11","2,394,031","52","46,039","114,600","Estadio Azteca, Mexico City"
"14","1990","Italy","Europe","3rd","12 / 12","2,516,215","52","48,389","74,765","San Siro, Milan"
"15","1994","United States","N. Amer.","top 16","9 / 9","3,587,538","52","68,991","94,194","Rose Bowl, Pasadena, Calif.†"
"16","1998","France","Europe","1st","10 / 10","2,785,100","64","43,517","80,000","Stade de France, Saint-Denis †"
"17","2002","South Korea &  Japan","Asia","4th / top 16","10 / 10 10 / 10","2,705,197","64","42,269","69,029","International Stadium Yokohama (Japan)"
"18","2006","Germany","Europe","3rd","12 / 12","3,359,439","64","52,491","80,000","Olympiastadion (Berlin)"
"19","2010","South Africa","Africa","Group","10 / 9","3,178,856","64","49,670","84,490","Soccer City, Johannesburg"
"20","2014","Brazil","S. Amer.","4th","12 / 12","3,429,873","64","53,592","74,738","Maracanã Stadium, Rio"
"Overall","37,500,710","836","44,857","171,772","Maracanã Stadium, Rio (1950)"
